title,year,name,type,character,n
Browncoats: Redemption,2010,Vinny Ali,actor,Reporter 6,
Career Opportunities in Organized Crime,2016,Vinny Ali,actor,Steve,
F. Godfather,2017,Vinny Ali,actor,Donny,
Good People,2014,Waj Ali,actor,Bailiff,13
RED 2,2013,Waj Ali,actor,Helicopter Pilot,56
Henry: Portrait of a Serial Killer,1986,Waleed B. Ali,actor,Store Clerk,32
Chronicle of a Disappearance,1996,Walid Aun Ali,actor,Whisling scene the couple,
David and Goliath,2015,Wassim Ali,actor,Soldier 1,
Fatal Pulse,1988,Willie Ali,actor,Vigilante #4,20
Song of Scheherazade,1947,Yussuf Ali,actor,Cop,
Yolanda and the Thief,1945,Yussuf Ali,actor,Man in Lounge,
Kosa na Kosa,2010,Yusuf Ali,actor,Fred,
Crooked Billet (3D),2017,Zac Ali,actor,Zac Sedgeman,
Kept (II),2012,Zada Ali,actor,Dog,
Buddy,2003,Zahid (III) Ali,actor,Billettkontroll?r,24
Izzat,2005,Zahid (III) Ali,actor,Elvis,44
Cheated,2012,Zaire Ali,actor,Jules,
Desdemona,2014,Zaire Ali,actor,Thadeus,
Lampedusa,2016,Zakaria Mohamed Ali,actor,Zak,
The Great Chicago Filmmaker,2014,Zeeshan Ali,actor,Himself,
Pyaar Ishq Aur Mohabbat,2001,Zulfikar Ali,actor,Anjali's Boyfriend,19
Kate & Kula,2010,Idriys Ali-Chow,actor,Hot Mirror Mom's Son,32
Laukaus tehtaalla,1973,Eino Ali-Kovero,actor,Metallimies,10
Fatima,2015,Zakaria Ali-Mehidi,actor,S?lim,9
The Sultan And The Kings,2016,Cooper Ali-Shabazz,actor,African Warrior-Saladin's Guard #2,
iBoy,2017,Shaquille Ali-Yebuah,actor,Cass,9
Legacy (III),2015,Shaquille Ali-Yebuah,actor,Craig,23
Social Suicide,2015,Shaquille Ali-Yebuah,actor,Marc,
Heavy Hustle,2016,Gjon Alia,actor,Officer Boston,
Le Squatch: Master Criminal 2.0,2014,Gjon Alia,actor,Nick,
Le nombril du monde,1993,Jonathan Alia,actor,David (2e ?poque),31
True Heart,2013,Ruli Fitrian Alia,actor,Jody,
Carceleras,1922,Manuel Aliacar,actor,Jes?s,7
Kapringen,2012,Hassan Aliaden,actor,Pirater,26
Medias Res,2016,Perry Aliado,actor,Disgusted Cologne Customer,42
El vecino,2000,Andr?s Aliaga,actor,Pepe,
Virgen de Copacabana ... su historia y sus milagros,2012,Andr?s Aliaga,actor,Jinete dos,
El entusiasmo,1998,Ignacio Aliaga,actor,Anciano,
Virgen de Copacabana ... su historia y sus milagros,2012,Joel Aliaga,actor,Extra,
Cautiverio Feliz,1998,Juan Pablo Aliaga,actor,Francisco Nu?ez de Pineda,1
Mandrill,2009,Juan Pablo Aliaga,actor,El C?clope,7
Mirageman,2007,Juan Pablo Aliaga,actor,Padre Ni?a Secuestrada,14
Festival,2001,Martin Aliaga,actor,Marc,3
Gangster,2007,Martin Aliaga,actor,Semir,10
Sairaan kaunis maailma,1997,Martin Aliaga,actor,Diileri Tukholmassa,13
Evita,1996,Ricardo Aliaga,actor,Dancer,74
8th Wonderland,2008,Nikos Aliagas,actor,Himself,
Stars 80,2012,Nikos Aliagas,actor,Nikos Aliagas,39
To oneiro tou Ikarou,2005,Nikos Aliagas,actor,Priest,2
Turf,2013,Nikos Aliagas,actor,Pr?sentateur soir?e gagnants,29
Femrat,2013,Robert Aliaj,actor,Agron,4
A Trip to the Island,2013,Hrant Alianak,actor,Harry,7
Becoming Burlesque,2017,Hrant Alianak,actor,Waleed Aziz,
Best Revenge,1984,Hrant Alianak,actor,Elliah,8
Billy Madison,1995,Hrant Alianak,actor,Pete,11
Destiny to Order,1989,Hrant Alianak,actor,Marlay,7
Dirty Work,1998,Hrant Alianak,actor,John Kirkpatrick,14
Family Viewing,1987,Hrant Alianak,actor,Administrator,10
Head Office,1985,Hrant Alianak,actor,President Sanchez,20
Life with Mikey,1993,Hrant Alianak,actor,Cereal Commercial Director,39
One Night Only,1986,Hrant Alianak,actor,Wenko,7
Pontypool,2008,Hrant Alianak,actor,Dr. Mendez,4
Spacehunter: Adventures in the Forbidden Zone,1983,Hrant Alianak,actor,Chemist,7
The Echo,2008,Hrant Alianak,actor,Max,10
The Secret Life of Algernon,1997,Hrant Alianak,actor,Mahir Sulleyman,4
"Bullets, Fangs and Dinner at 8",2015,Jerrod Aliangan,actor,Club Extra,
Luciferous,2015,Arman Aliani,actor,Condo Presence,
A Mighty Heart,2007,Shah Murad Aliani,actor,Farooq,27
John Caster,2016,Christian Aliano,actor,Table Thug #2,24
21,2008,Joey Aliano,actor,Club Goer,
Last Vegas,2013,Joey Aliano,actor,Tourist,
Not Another Celebrity Movie,2013,Joey Aliano,actor,Lobby Security,
Race to Witch Mountain,2009,Joey Aliano,actor,Valet attendant,
Step Up All In,2014,Joey Aliano,actor,Ceasers Lobby Tourist,
The Hangover Part III,2013,Joey Aliano,actor,Tourist,
Paano kita iibigin,2007,Quintin Alianza,actor,Liam,4
Shake Rattle and Roll 8,2006,Quintin Alianza,actor,"Jimmy (segment ""LRT"")",61
SupahPapalicious,2008,Quintin Alianza,actor,Juno's Child,14
The Healing,2012,Quintin Alianza,actor,Ulap,28
You Got Me!,2007,Quintin Alianza,actor,Brother of Caloy,9
Aedan,2016,Sunny Alias Torappan Bastian,actor,Maadan Tampi,4
Spadikam,1995,Sunny Alias Torappan Bastian,actor,Torappan Bastin,
...e continuavano a mettere lo diavolo ne lo inferno,1973,Bruno Alias,actor,German servant,
A suon di lupara,1968,Bruno Alias,actor,Party Guest,
Ab morgen sind wir reich und ehrlich,1976,Bruno Alias,actor,Car Passenger,
Acqua e sapone,1983,Bruno Alias,actor,Party Guest,
Alla mia cara mamma nel giorno del suo compleanno,1974,Bruno Alias,actor,Uomo che starnutisce in chiesa,
Alla ricerca del piacere,1972,Bruno Alias,actor,Party Guest,
Arrriva Dorellik,1967,Bruno Alias,actor,Night Club Visitor,
Assassinio al cimitero etrusco,1982,Bruno Alias,actor,Townsman,
Attenti al buffone,1975,Bruno Alias,actor,Airport Passenger,
Avanti!,1972,Bruno Alias,actor,Man at Airport,
Bollenti spiriti,1981,Bruno Alias,actor,Guest,
Ciao marziano,1980,Bruno Alias,actor,Giornalista,
Commissariato di notturna,1974,Bruno Alias,actor,Man in the Pub with a Friend,
Diabolik,1968,Bruno Alias,actor,Party Guest,
Emanuelle nera,1975,Bruno Alias,actor,Party Guest,
Fermate il mondo... voglio scendere!,1970,Bruno Alias,actor,Uomo che balla,
I cannibali,1970,Bruno Alias,actor,Man talking with injured rebel #2,
I figli... so' pezzi 'e core,1981,Bruno Alias,actor,Cliente al ristorante,
Il bacio di una morta,1974,Bruno Alias,actor,Viewer at the Theatre,
Il conte Tacchia,1982,Bruno Alias,actor,Circolo Araldico Member,
Il magnifico Texano,1967,Bruno Alias,actor,Party Guest,
Il padrone e l'operaio,1976,Bruno Alias,actor,Guest on the Yacht,
Il ragazzo che sorride,1969,Bruno Alias,actor,Friend of Mine Owner,
Il... Belpaese,1977,Bruno Alias,actor,Ospite all'apertura del negozio,
Io e lui,1973,Bruno Alias,actor,Dinner Guest,
Kriminal,1966,Bruno Alias,actor,Man at casino table,
La controfigura,1971,Bruno Alias,actor,Waiter,
La polizia chiede aiuto,1974,Bruno Alias,actor,Cop,
La polizia chiede aiuto,1974,Bruno Alias,actor,Reporter,
La poliziotta fa carriera,1976,Bruno Alias,actor,Party Guest,
La ragazza di Via Condotti,1973,Bruno Alias,actor,Man at Nightclub,24
Le tue mani sul mio corpo,1970,Bruno Alias,actor,Party Guest,
Macchie solari,1975,Bruno Alias,actor,Man in Restaurant,
Paolo il caldo,1973,Bruno Alias,actor,Party Guest,
Scacco alla regina,1969,Bruno Alias,actor,Uomo alla festa,
Sette scialli di seta gialla,1972,Bruno Alias,actor,Hairdresser,
Spasmo,1974,Bruno Alias,actor,Party Guest,
Valeria dentro e fuori,1972,Bruno Alias,actor,Male nurse,
Xiangang xiao jiao fu,1974,Bruno Alias,actor,Killer in the Toilets,
Night Magic,1985,Don Alias,actor,Drummer,16
"Atilano, presidente",1998,Jos? Alias,actor,El Ni?o,7
Crimen ferpecto,2004,Jos? Alias,actor,Mat?as,10
El portero,2000,Jos? Alias,actor,Buhonero,15
Flores de otro mundo,1999,Jos? Alias,actor,Soltero,17
Goya's Ghosts,2006,Jos? Alias,actor,Goya's Coachman,49
"Justino, un asesino de la tercera edad",1994,Jos? Alias,actor,Portero,5
Muertos de risa,1999,Jos? Alias,actor,Folkl?rico despedido,33
Oculto,2005,Jos? Alias,actor,Gigante,23
The Cold Light of Day,2012,Jos? Alias,actor,Garbage Man,25
Un rey en La Habana,2005,Jos? Alias,actor,Pistolita,7
Dominion,2006,Marcus Alias,actor,Band Member,
Ibu mertuaku,1962,Rahimah Alias,actor,Haryati,9
Labu dan Labi,1962,Rahimah Alias,actor,Isteri Haji Bakhil,5
Mr. Sophistication,2013,Ardeshir Aliaskari,actor,Niki J Crawford Entourage,
Brando Unauthorized,2011,Keyan Aliaskari,actor,Elia Kazan,15
Sammy and Rosie Get Laid,1987,Tariq Alibai,actor,Asian Accountant,26
Kesif,2017,Ugur Alibasoglu,actor,Kuscu Ali,19
Mandira Filozofu Istanbul,2015,Ugur Alibasoglu,actor,Halil Ibrahim,
Igry motylkov,2004,Bari Alibasov,actor,Jury member,18
"Solntse, Vozdukh I... Na-Na",1992,Bari Alibasov,actor,Himself,
Nakhvamdis,1934,A. Alibegashvili,actor,General,13
Deps,1974,Dzevad Alibegovic,actor,Mijo,
Zlocin u skoli,1982,Dzevad Alibegovic,actor,Sef u uredu groblja,22
Kendistan 2,2013,Ilkin Alibekov,actor,Ramazan (qazan),
Au pays du soleil,1933,Henri Alibert,actor,Titin,1
Trois de la marine,1934,Henri Alibert,actor,Antonin,3
Un gosse pour 100.000 francs,1934,L. Alibert,actor,Marcel,
Les choristes,2004,Quentin Alibert,actor,Enfant,56
Gomorra,2008,Angelo Aliberti,actor,Man in quarry,19
4 Minutes,2009,Wayne Alibey,actor,Card Player,
Joker,1991,Ali Alibhai,actor,UN-Ambassador,24
Pseudo,2012,Zarif Alibhai,actor,Juggy,8
Les Dalton,2004,Gadji Alibo,actor,Le Garde 1,20
Black Gold (II),2011,Mohammed Alibrahim,actor,Pigeon Guard II,
Ch/B,2014,Omar Alibutaev,actor,Caucasian in the train,
Ponts de Sarajevo,2014,Behija Alic,actor,"(segment ""Album"")",30
Agonija,1998,Bozidar Alic,actor,Barun Lenbach,3
Akcija Stadion,1977,Bozidar Alic,actor,Ferko,4
Cetverored,1999,Bozidar Alic,actor,Vasa,73
Crveno i crno,2006,Bozidar Alic,actor,Painting buyer,
Duga mracna noc,2004,Bozidar Alic,actor,Jakob,
Infekcija,2003,Bozidar Alic,actor,General Genz,7
Inspektor Martin i banda puzeva,2012,Bozidar Alic,actor,Inspektor Martin,1
Kamenita vrata,1992,Bozidar Alic,actor,Pacient,4
Milost mora,2003,Bozidar Alic,actor,Foreman,8
Pizza Colonia,1991,Bozidar Alic,actor,Roncati,25
Pusca Bistra,2005,Bozidar Alic,actor,Seljak,18
Someone Dies Tonight,2018,Bozidar Alic,actor,Stipe,
Treci kljuc,1983,Bozidar Alic,actor,Zvonko Krslak,1
Wasn't Afraid to Die,2016,Bozidar Alic,actor,Slavko Degoricija,
Zivi bili pa vidjeli,1979,Bozidar Alic,actor,Mate Alic,11
"Suplje price: Zdej te je, a zdej te ni",2015,Damir Alic,actor,Ali,10
Toxic Lullaby,2010,Dzevad Alic,actor,Schl?fer,
Cuvari noci,2008,Haris Alic,actor,Policajac,4
"Montevideo, vidimo se!",2014,Nemanja Alic,actor,Bolivijski fudbaler VII,68
From Belgrade with Love,2010,Pavle Alic,actor,Paja,
Reality,2008,Vanja Alic,actor,Blackmail Porno Group,
Imperial Conquest,2010,Erik Alicante,actor,Chinese Soldier,8
Ex,2009,Gianpiero Alicchio,actor,Amico di Corrado,
L'uomo nero,2009,Gianpiero Alicchio,actor,Dottore Paruzzi,
Radio America,2015,Christopher Alice,actor,Dave Schultz,2
Marvelous Mandy,2016,Alex (II) Alicea,actor,Patient 1,
Hanging Millstone,2016,Alex (III) Alicea,actor,Bust Station Patron,
Deviant (II),2017,Amber Alicea,actor,Model,
Allegiant,2016,Angel (II) Alicea,actor,Factionless Army,
Che: Part One,2008,Doel Alicea,actor,Oltuski's Messenger,98
Kabo & Platon,2009,Doel Alicea,actor,Beno,
Gut,2012,Fernando Alicea,actor,Diner Regular,
The Taking of Pelham 1 2 3,2009,Fernando Alicea,actor,Business Man,
Narx,2011,Jay Alicea,actor,Bad Guy #2,
Un deseo en Navidad,2016,Joel Alicea,actor,Fransisco,
Aleister,2015,Johnny Alicea,actor,David Caruso,4
Blood Reservoir,2014,Johnny Alicea,actor,FBI Agent,
Cultural Wars,2014,Johnny Alicea,actor,Coccomelo,13
"Sex, Blood and Fairy Tales",2015,Johnny Alicea,actor,Eric,
The Real Target,2017,Johnny Alicea,actor,Captain Erikkson,
Wildlife,2014,Johnny Alicea,actor,FBI Agent Rafi Guillemont,14
Wolves,2016,Johnny Alicea,actor,Basketball Fan,
El beso que me diste,2000,Joseph Alicea,actor,"Iv?n, ?ngela's son",7
Beverly H.,2016,Nino Alicea,actor,Announcer,
Hollywood Whores,2011,Nino (III) Alicea,actor,Movie Watcher,26
Alto,2015,Rob Alicea,actor,The Baker's Assistant,
Saturnalia,2013,Rob Alicea,actor,Jimmy,12
Immortal Island,2011,Ronnie Alicea,actor,Pirate,
Shufflemania,2001,Tony Alicea,actor,Drunk Guy,26
200 Cartas,2013,Victor Alicea,actor,Husband,
"Karzan, the Kurdish Story",2016,Wilberto Alicea,actor,Hassan,3
Marvelous Mandy,2016,Wilberto Alicea,actor,Patient 2,
The Last Hope,2016,Wilberto Alicea,actor,Hasan,
Balkanski sindrom,2007,Robin Alicehajic,actor,Lido,
Alien Protocol,2013,Becky Alich,actor,Woman at Door 1,
Neander-Jin: The Return of the Neanderthal Man,2011,Norbert Alich,actor,Otto Klein,6
Richy Guitar,1985,Walter Alich,actor,Herr Steuber,10
Attitude,2015,Chizzy Alichi,actor,Joan,
Kanli Postal,2015,Ertunc Alici,actor,Boksor,
Toti copiii domnului,2012,Jhoni Alici,actor,Bartender,
Quixote's Island,2011,Serdi Faki Alici,actor,Serdi,6
The Cold Winter,2016,David Alicia,actor,Man 6 at Cigar House,
Three Degrees,2012,Emma Alicia,actor,Karen,
The Greatest Adventure of My Life,2005,Patrick Alicie,actor,Dock Hand,
Bug,2002,Casey Alicino,actor,Cal Trans Crewman,
Surviving in L.A.,2016,Casey Alicino,actor,Sitcom Grip,49
Anokha Mehman (Unique Guest),2012,Tunc Alicioglu,actor,Tun?,3
"Blokada: Luzhskiy rubezh, Pulkovskiy meredian",1975,Anatoli Alidin,actor,Chorokhov,28
The Power of Three,2011,Shiraz Alidina,actor,Himself,
Broken & Beautiful,2012,Danish Alidino,actor,Lino,2
The Scared of Death Society,2010,Glen Alie,actor,Spiracy.con Conspirator,
Writing on the Wall,2011,Alien Virtual,actor,Second Paul,
Nighttown,2009,D.J. Alien,actor,Himself - interviewee,
7 cajas,2012,Gustavo Aliende,actor,Extra,165
No Worries,1993,Christopher Aliendi,actor,Sean O'Keefe,
The Good Lie,2014,Jacob Kuol Alier,actor,Fargo Boy,37
Pohishteniye v zhalto,1981,Ahmed Aliev,actor,Andrey,5
Kitayskaya babushka,2010,Ali Aliev,actor,Salesperson at a kiosk,9
Sappho,2008,Bakhtiyar Aliev,actor,Island Resident,10
Eto sladkoe slovo - svoboda!,1973,Eldar Aliev,actor,Lieutenant Curilio,
Qanun namina,1968,Gabil Aliev,actor,Kamancaci,
Ulvenatten,2008,Ramil Aliev,actor,Tsjetsjensk student,51
La plaga,2013,Ruslan Aliev,actor,Lluitador,14
A Father's Will,2016,Zarylbek Aliev,actor,Village man,
Play It Safe,2015,Alina Alieva,actor,Alina (Camberwell Student),
Bola Kampung,2013,Harris Alif,actor,Azizul,
Bola Kampung: The Movie,2013,Harris Alif,actor,Azizul,
Oro Puzhayum Parayunnathu,2016,Shaah Alif,actor,Musafir,
El rumor de las piedras,2011,Alberto Alifa,actor,David,5
El tinte de La Fama,2008,Alberto Alifa,actor,Arturo,
Maisanta,2016,Alberto Alifa,actor,Pedro perez (padre),
Miranda regresa,2007,Alberto Alifa,actor,Zambrano,
"Piedra, Papel o Tijera",2012,Alberto Alifa,actor,Gonzalo,
Taita Boves,2010,Alberto Alifa,actor,Juez Brice?o,
Tamara (II),2016,Alberto Alifa,actor,Jos? Rafael,7
Un lugar lejano,2010,Alberto Alifa,actor,Doctor,
Detention,2011,Lucas Alifano,actor,Random Jock,26
Fear Not,2011,Lucas Alifano,actor,Rod,
The Lost Coast,2008,Lucas Alifano,actor,Mark,2
Aliff Dalam 7 Dimensi,2016,Addirull Aliff,actor,Prof Ghost,
Budak lapok,2007,Isma Aliff,actor,Osman,
Antihero,2011,Nicklas Aliff,actor,D.J.,5
Among Us,2015,Guillermo Alifraco,actor,Mr. Lombardi,6
The Shadow in the Bed,2016,Guillermo Alifraco,actor,Edward,1
Niki tis Samothrakis,1990,Yorgos Alifrangis,actor,Car mechanic,
Niki tis Samothrakis,1990,Yorgos Alifrangis,actor,'Nike' soccer team player,
Scumbag,2017,Michael Alig,actor,Cody,4
Shampoo Horns,1998,Michael Alig,actor,Michael,7
Vamp Bikers Dos,2015,Michael Alig,actor,God,5
Vamp Bikers Dos,2015,Michael Alig,actor,Alter Ego,5
Vamp Bikers Tres,2016,Michael Alig,actor,God,3
The Lone Ranger,2013,Charlie Aligaen,actor,Chinese Miner,
Tsunambee: The Wrath Cometh,2015,Charlie Aligaen,actor,Tubs,6
Super Inday and the Golden Bibe,2010,Thamie Aligaga,actor,Goon,49
Barang,2006,Don Aligayo,actor,Partaker,91
La dolce vita,1960,Conte Brunoro Serego Aligheri,actor,Young Man with Mink Coat,
Ateik i ayeik,2010,Giulio Alighieri,actor,Giulio,
Con alma y vida,1970,Juan Alighieri,actor,Hombre en c?rcel,
El barro humano,1955,Juan Alighieri,actor,Manolo,
La maffia,1972,Juan Alighieri,actor,Hombre en re?idero,
Orden de matar,1965,Juan Alighieri,actor,Asistente de Mauro,
"Girolimoni, il mostro di Roma",1972,Carlo Alighiero,actor,Parrini,
I corpi presentano tracce di violenza carnale,1973,Carlo Alighiero,actor,Uncle Nino,16
Il gatto a nove code,1971,Carlo Alighiero,actor,Dr. Calabresi,8
Il momento di uccidere,1968,Carlo Alighiero,actor,Forester,5
La polizia accusa: il servizio segreto uccide,1975,Carlo Alighiero,actor,Remo Ortolani,8
La suora giovane,1965,Carlo Alighiero,actor,Oste,5
Lo strano vizio della Signora Wardh,1971,Carlo Alighiero,actor,Commissioner,5
Milano trema: la polizia vuole giustizia,1973,Carlo Alighiero,actor,Nicastro,4
Mon oncle Benjamin,1969,Carlo Alighiero,actor,L'intendant du marquis,8
Morte sospetta di una minorenne,1975,Carlo Alighiero,actor,Chief S.M.C.D. office,9
Nella terra di nessuno,2000,Carlo Alighiero,actor,Prof. Giordani,11
Roma a mano armata,1976,Carlo Alighiero,actor,DiSavelli,10
Un esercito di 5 uomini,1969,Carlo Alighiero,actor,Gutierrez,8
Talk Back and You're Dead,2014,Christian Aligio,actor,Enchanted Kingdom Ensemble,157
40 gradi all'ombra del lenzuolo,1976,Christian Aligny,actor,"Dracula (segment ""La cavallona"")",11
Brancaleone alle Crociate,1970,Christian Aligny,actor,Accusatore di Tiburzia,
Il conformista,1970,Christian Aligny,actor,Raoul,12
Il medico della mutua,1968,Christian Aligny,actor,The painter,
Nel nome del padre,1971,Christian Aligny,actor,The Rector,16
Scipione detto anche l'africano,1971,Christian Aligny,actor,Senatore,
Marty's Magnificent Day-Glo Dream-A-Thon,2011,Alex Aligo,actor,Villager #5,
13. jul,1982,Slobodan Aligrudic,actor,Covek sa kutijom sa mackama,19
Bekstva,1968,Slobodan Aligrudic,actor,Albert,9
Bube u glavi,1970,Slobodan Aligrudic,actor,Silovatelj,
Decko koji obecava,1981,Slobodan Aligrudic,actor,Psihijatar,9
Erogena zona,1981,Slobodan Aligrudic,actor,Milicioner,15
I Bog stvori kafansku pevacicu,1972,Slobodan Aligrudic,actor,Direktor hotela II,
Idemo dalje,1982,Slobodan Aligrudic,actor,Skolski nadzornik,8
Indijsko ogledalo,1985,Slobodan Aligrudic,actor,Cale,
Kad budem mrtav i beo,1967,Slobodan Aligrudic,actor,Upravnik Milutin,8
Ko to tamo peva,1980,Slobodan Aligrudic,actor,Porucnik,13
Kraljevski voz,1981,Slobodan Aligrudic,actor,Policajac Rapajic,4
Ljubavni slucaj ili tragedija sluzbenice P.T.T.,1967,Slobodan Aligrudic,actor,"Ahmed, sanitarni inspektor",2
Ljubavni zivot Budimira Trajkovica,1977,Slobodan Aligrudic,actor,Direktor OOUR-a,10
Miris poljskog cveca,1977,Slobodan Aligrudic,actor,Inspektor za krvne delikte,13
Nacionalna klasa,1979,Slobodan Aligrudic,actor,Funkcioner Vidoje,17
Naivko,1975,Slobodan Aligrudic,actor,Pura,5
Otac na sluzbenom putu,1985,Slobodan Aligrudic,actor,Ostoja Cekic,8
Otpisani,1974,Slobodan Aligrudic,actor,Skale,7
Povratak otpisanih,1976,Slobodan Aligrudic,actor,Drug Selja,
Pukovnikovica,1972,Slobodan Aligrudic,actor,Kaplar II,4
Quo vadis Zivorade?!,1968,Slobodan Aligrudic,actor,General,4
San,1966,Slobodan Aligrudic,actor,Milovan,
Sjecas li se Dolly Bell?,1981,Slobodan Aligrudic,actor,Otec,2
Solaja,1955,Slobodan Aligrudic,actor,Skojevac,
Specijalno vaspitanje,1977,Slobodan Aligrudic,actor,Komandir milicije,13
Subotom uvece,1957,Slobodan Aligrudic,actor,"Mladic (segment ""Na kosavi"")",
Variola vera,1982,Slobodan Aligrudic,actor,Drug Vlada,19
Veliki transport,1983,Slobodan Aligrudic,actor,Novoverac Rade,16
Zaseda,1969,Slobodan Aligrudic,actor,Jotic,4
Zuta,1973,Slobodan Aligrudic,actor,Milicioner II,
"The Tulse Luper Suitcases, Part 1: The Moab Story",2003,Xavier Aliguer,actor,Red Fox Cadet,25
Thy Womb,2012,Tasman Alih,actor,Lepa Boatman,30
Agnus Dei,2012,Astrit Alihajdaraj,actor,Peter,
Duh babe Ilonke,2011,Astrit Alihajdaraj,actor,Postar,21
Gone Back,2013,Astrit Alihajdaraj,actor,Mark,1
Nordrand,1999,Astrit Alihajdaraj,actor,Senad,3
The Piano Room,2013,Astrit Alihajdaraj,actor,German Buyer's Translator,17
Tonight Is Cancelled,2007,Astrit Alihajdaraj,actor,Soldier 2,10
The Business,2005,Rachid Alihealni,actor,Columbian 2,17
Sjaj u ocima,2003,Senad Alihodzic,actor,Labud,1
Flay,2015,Brandon Aliid,actor,Restaurant patron,
Kapringen,2012,Hussein Aliigal,actor,Pirater,21
Eternal Fist,1992,Mudh Alijabar,actor,Mainframe's Guard,30
Planet USA,2013,Elma Alijagic,actor,Alina,
Yellow Cape Town,2007,Elma Alijagic,actor,Alina,
Bereullin,2013,Igor Alijev,actor,Arab Informant - Hotel Desk,48
Buda as sharm foru rikht,2007,Abbas Alijome,actor,Abbas,
The Governor,2007,Ismar Alikadic,actor,Tough College Boy,
Out of Touch,2011,Elidon Alikaj,actor,Laert,5
Pharmakon,2012,Elidon Alikaj,actor,The Waiter,7
Pit Stop Mafia,2016,Elidon Alikaj,actor,Polici Civil,26
Qarib cinlar diyarinda,1977,Mubariz Alikhan-ogly,actor,Kasra,9
Yubiley dante,1978,Mubariz Alikhan-ogly,actor,Macid,
Bacheha-Ye aseman,1997,Seyed Karym Alikhani,actor,Runner,45
Neadekvatnye lyudi,2010,Grigory Alikhanov,actor,Extra,41
Khorezmiyskaya legenda,1978,Ulmas Alikhodzhayev,actor,Maksud,1
Minuvshie dni,1969,Ulmas Alikhodzhayev,actor,Atabek,1
Pod peplom ogon,1968,Ulmas Alikhodzhayev,actor,Safoyev,
Qirmizi qatar,1993,Ulmas Alikhodzhayev,actor,Turan,10
Zvezda Ulugbeka,1964,Ulmas Alikhodzhayev,actor,Ali Kushchi,
Alif,2015,Alikoya,actor,Djinn Usthad,
IDI: Inspector Dawood Ibrahim,2016,Alikoya,actor,Usthad,
"Oro, plata, mata",1982,Gaudencio Alilain,actor,Musician,108
Can't Stop the Music,1980,Rasa Alileen,actor,Mime,31
Arsin mal alan,1965,Mammad Alili,actor,Arsinmalci,10
Yuxu,2001,Qorxmaz Alili,actor,Qasaba Sakini,5
Arsin mal alan,1965,Qorxmaz (II) Alili,actor,Usaq,11
Gimik: The Reunion,1999,Jeffrey Alilindao,actor,Brian's Classmate,50
Overseas,2015,Nkechi Alily,actor,Nkem,
Overseas,2015,Ogige Alily,actor,Christine,
Adawiya,1968,Abdel Alim Khattab,actor,Hussanein,
Kursi el iteraf,1949,Abdel Alim Khattab,actor,Andrea Strotsy (army leader),
Badai di Ujung Negeri,2011,Adrian Alim,actor,Letkol. Zein,
Long Road to Heaven,2007,Nur Alim,actor,Police 1,35
Huling biyahe,2012,Reich Alim,actor,Sinead,10
Rieltor,2011,Zhan Alim,actor,Bakhadur,
Kvartirantka,2008,Safar Alimamedov,actor,Taxi Driver,13
Vara asta,2012,Catalin Aliman,actor,Alex,
Mikres exegerseis,2009,Bujar Alimani,actor,Tzimis,6
Adil geht,2005,Salko Alimanovic,actor,Vater Jonni & Elvis,15
Krushenie emirata,1955,K. Alimdzhanov,actor,Yuldash Akhunbaev,
Star Wars: Episode II - Attack of the Clones,2002,Giulio Alimenti,actor,Naboo Holy Man,
Vaya con Dios,2002,Giulio Alimenti,actor,Italienischer M?nch,32
After (III),2012,Ari? Alimi,actor,Danseur,15
Taxi Driver: Oko Ashewo,2015,Babajide Alimison,actor,Tiny,
Balay daku,2002,Mandy Alimon,actor,Julio Gonzalez,2
Andrea - Wie ein Blatt auf nackter Haut,1968,Helmut Alimonta,actor,Schorsch,10
Bankraub in der Rue Latour,1961,Helmut Alimonta,actor,Ganove,
Bodo - Eine ganz normale Familie,1989,Helmut Alimonta,actor,Nachtwaechter,15
The Second Victory,1987,Helmut Alimonta,actor,Ski-lift attendant,26
Unterm Dirndl wird gejodelt,1973,Helmut Alimonta,actor,Heidis Vater,
Zwei Bayern in Bonn,1962,Helmut Alimonta,actor,Automechaniker,
Guardie e ladri,1951,Aldo Alimonti,actor,Street Boy,20
Jonathan degli orsi,1994,Igor Alimov,actor,"Jonathan, as a boy",14
Angliyskiy russkiy,2013,Leonid Alimov,actor,Yakovlev,
Reverberatsiya,2015,Leonid Alimov,actor,Owner of the motel,16
3rd Street Blackout,2015,Sean Alimov,actor,Technology Customer #2,
Khorezmiyskaya legenda,1978,Seifi Alimov,actor,Second Wise Man,
Krushenie emirata,1955,Seifi Alimov,actor,Chronicler,
Mahallada Duv-duv Gap,1960,Seifi Alimov,actor,Ali,
Pobeg iz tmy,1973,Seifi Alimov,actor,Mufti Shakhodat,9
Poema dvukh serdets,1968,Seifi Alimov,actor,Domulla,
Zvezda Ulugbeka,1964,Seifi Alimov,actor,Astrologer,
Cirque du Soleil: Worlds Away,2012,Zulfia Alimova,actor,'O' Cast Member,28
Thy Womb,2012,Khan Alimuddin,actor,Butcher's Assistant,57
Da Best in da West 2: Da Western Pulis Istori,1996,Peter Alimurong,actor,Goon,54
Boy Golden,2013,Peter Alimurung,actor,Gang Member,66
L'intrus,2004,Edwin Alin,actor,Le patron de la quincaillerie,11
A Matter of Love,1979,Jeff Alin,actor,Frank Hughes,2
Face,2012,Scott Alin,actor,Matt,
Stepping High,2013,Scott Alin,actor,Bully #1,
